#FORMAT=WebAnno TSV 3.3


1-1	0-3	Ich	
15-13	1169-1174	davon	
15-14	1175-1179	über	
15-15	1180-1182	20	
15-16	1183-1190	Stunden	
15-17	1191-1193	am	
15-18	1194-1201	Wohnort	
15-19	1201-1202	.	

16-1	1204-1206	In	
16-2	1207-1213	diesem	
16-3	1214-1218	fall	
16-4	1219-1228	überwiegt	
16-5	1229-1240	Wasserstoff	
16-6	1240-1241	.	

17-1	1243-1248	Autos	
17-2	1248-1249	,	
17-3	1250-1253	die	
17-4	1254-1257	mit	
17-5	1258-1269	Wasserstoff	
17-6	1270-1279	betrieben	
17-7	1280-1286	werden	
17-8	1286-1287	,	
17-9	1288-1294	weisen	
17-10	1295-1298	die	
17-11	1299-1307	gleichen	
17-12	1308-1326	Geräuschemissionen	
17-13	1327-1330	auf	
17-14	1330-1331	.	

18-1	1333-1336	Bei	
18-2	1337-1346	niedrigen	
18-3	1347-1364	Geschwindigkeiten	
18-4	1365-1370	unter	
18-5	1371-1373	30	
18-6	1374-1376	km	
18-7	1376-1377	/	
18-8	1377-1378	h	
18-9	1379-1385	liegen	
18-10	1386-1391	diese	
18-11	1392-1397	unter	
18-12	1398-1400	57	
18-13	1401-1403	dB	
18-14	1403-1404	.	

19-1	1406-1409	Bei	
19-2	1410-1417	höheren	
19-3	1418-1435	Geschwindigkeiten	
19-4	1436-1445	überwiegt	
19-5	1446-1449	die	
19-6	1450-1469	Geräuschentwicklung	
19-7	1470-1475	durch	
19-8	1476-1487	Rollreibung	
19-9	1488-1491	und	
19-10	1492-1506	Windwiderstand	
19-11	1506-1507	.	

20-1	1509-1512	Mit	
20-2	1513-1524	Wasserstoff	
20-3	1525-1535	betriebene	
20-4	1536-1541	Autos	
20-5	1542-1548	werden	
20-6	1548-1549	,	
20-7	1550-1553	die	
20-8	1554-1562	ähnliche	
20-9	1563-1581	Geräuschemissionen	
20-10	1582-1585	wie	
20-11	1586-1593	E-Fuels	
20-12	1594-1601	genutzt	
20-13	1601-1602	.	

21-1	1604-1607	Bei	
21-2	1608-1617	niedrigen	
21-3	1618-1635	Geschwindigkeiten	
21-4	1636-1641	unter	
21-5	1642-1644	30	
21-6	1645-1647	km	
21-7	1647-1648	/	
21-8	1648-1649	h	
21-9	1650-1656	liegen	
21-10	1657-1662	diese	
21-11	1663-1668	unter	
21-12	1669-1671	57	
21-13	1672-1674	dB	
21-14	1674-1675	.	

22-1	1677-1680	Bei	
22-2	1681-1688	höheren	
22-3	1689-1706	Geschwindigkeiten	
22-4	1707-1716	überwiegt	
22-5	1717-1720	die	
22-6	1721-1740	Geräuschentwicklung	
22-7	1741-1746	durch	
22-8	1747-1758	Rollreibung	
22-9	1759-1762	und	
22-10	1763-1777	Windwiderstand	
22-11	1777-1778	.	

23-1	1780-1788	Deswegen	
23-2	1789-1792	bin	
23-3	1793-1796	ich	
