#FORMAT=WebAnno TSV 3.3


1-1	0-3	Ich	
15-13	1169-1174	davon	
15-14	1175-1179	über	
15-15	1180-1182	20	
15-16	1183-1190	Stunden	
15-17	1191-1193	am	
15-18	1194-1201	Wohnort	
15-19	1201-1202	.	

16-1	1204-1206	In	
16-2	1207-1213	diesem	
16-3	1214-1218	fall	
16-4	1219-1228	überwiegt	
16-5	1229-1240	Wasserstoff	
16-6	1241-1244	mit	
16-7	1245-1250	einer	
16-8	1251-1260	Tankdauer	
16-9	1261-1264	von	
16-10	1265-1269	3min	
16-11	1270-1273	und	
16-12	1274-1279	einer	
16-13	1280-1287	Strecke	
16-14	1288-1291	von	
16-15	1292-1297	700km	
16-16	1297-1298	.	

17-1	1300-1305	Autos	
17-2	1305-1306	,	
17-3	1307-1310	die	
17-4	1311-1314	mit	
17-5	1315-1326	Wasserstoff	
17-6	1327-1336	betrieben	
17-7	1337-1343	werden	
17-8	1343-1344	,	
17-9	1345-1351	weisen	
17-10	1352-1355	die	
17-11	1356-1364	gleichen	
17-12	1365-1383	Geräuschemissionen	
17-13	1384-1387	auf	
17-14	1387-1388	.	

18-1	1390-1393	Bei	
18-2	1394-1403	niedrigen	
18-3	1404-1421	Geschwindigkeiten	
18-4	1422-1427	unter	
18-5	1428-1430	30	
18-6	1431-1433	km	
18-7	1433-1434	/	
18-8	1434-1435	h	
18-9	1436-1442	liegen	
18-10	1443-1448	diese	
18-11	1449-1454	unter	
18-12	1455-1457	57	
18-13	1458-1460	dB	
18-14	1460-1461	.	

19-1	1463-1466	Bei	
19-2	1467-1474	höheren	
19-3	1475-1492	Geschwindigkeiten	
19-4	1493-1502	überwiegt	
19-5	1503-1506	die	
19-6	1507-1526	Geräuschentwicklung	
19-7	1527-1532	durch	
19-8	1533-1544	Rollreibung	
19-9	1545-1548	und	
19-10	1549-1563	Windwiderstand	
19-11	1563-1564	.	

20-1	1566-1569	Mit	
20-2	1570-1581	Wasserstoff	
20-3	1582-1592	betriebene	
20-4	1593-1598	Autos	
20-5	1599-1605	werden	
20-6	1605-1606	,	
20-7	1607-1610	die	
20-8	1611-1619	ähnliche	
20-9	1620-1638	Geräuschemissionen	
20-10	1639-1642	wie	
20-11	1643-1650	E-Fuels	
20-12	1651-1658	genutzt	
20-13	1658-1659	.	

21-1	1661-1664	Bei	
21-2	1665-1674	niedrigen	
21-3	1675-1692	Geschwindigkeiten	
21-4	1693-1698	unter	
21-5	1699-1701	30	
21-6	1702-1704	km	
21-7	1704-1705	/	
21-8	1705-1706	h	
21-9	1707-1713	liegen	
21-10	1714-1719	diese	
21-11	1720-1725	unter	
21-12	1726-1728	57	
21-13	1729-1731	dB	
21-14	1731-1732	.	

22-1	1734-1737	Bei	
22-2	1738-1745	höheren	
22-3	1746-1763	Geschwindigkeiten	
22-4	1764-1773	überwiegt	
22-5	1774-1777	die	
22-6	1778-1797	Geräuschentwicklung	
22-7	1798-1803	durch	
22-8	1804-1815	Rollreibung	
22-9	1816-1819	und	
22-10	1820-1834	Windwiderstand	
22-11	1834-1835	.	

23-1	1837-1845	Deswegen	
23-2	1846-1849	bin	
23-3	1850-1853	ich	
23-4	1854-1857	für	
23-5	1858-1861	den	
23-6	1862-1875	Energieträger	
23-7	1876-1887	Wasserstoff	
23-8	1887-1888	.	
