#FORMAT=WebAnno TSV 3.3


10-3	850-858	Beispiel	
10-4	859-865	müssen	
10-5	866-870	nach	
10-6	871-873	40	
10-7	874-880	Jahren	
10-8	881-893	ausgetauscht	
10-9	894-900	werden	
10-10	900-901	.	

11-1	903-906	Ein	
11-2	907-913	Großer	
11-3	914-919	Punkt	
11-4	920-922	um	
11-5	923-933	beurteilen	
11-6	934-936	zu	
11-7	937-943	können	
11-8	943-944	,	
11-9	945-948	was	
11-10	949-952	die	
11-11	953-958	beste	
11-12	959-970	Alternative	
11-13	971-974	ist	
11-14	974-975	,	
11-15	976-979	ist	
11-16	980-983	der	
11-17	984-989	Preis	
11-18	989-990	.	

12-1	991-994	Der	
12-2	995-1004	Solarpark	
12-3	1005-1011	kostet	
12-4	1012-1015	nur	
12-5	1016-1017	6	
12-6	1018-1027	Millionen	
12-7	1028-1032	Euro	
12-8	1032-1033	,	
12-9	1034-1037	der	
12-10	1038-1046	Windpark	
12-11	1047-1052	schon	
12-12	1053-1055	14	
12-13	1056-1065	Millionen	
12-14	1066-1070	Euro	
12-15	1070-1071	.	

13-1	1072-1075	Die	
13-2	1076-1093	Wasserkarftanlage	
13-3	1094-1102	hingegen	
13-4	1103-1108	schon	
13-5	1109-1111	59	
13-6	1112-1121	Millionen	
13-7	1122-1126	Euro	
13-8	1126-1127	.	

14-1	1128-1131	Die	
14-2	1132-1138	Kosten	
14-3	1139-1145	setzen	
14-4	1146-1150	sich	
14-5	1151-1159	zusammen	
14-6	1160-1163	aus	
14-7	1164-1167	den	
14-8	1168-1174	Kosten	
14-9	1175-1178	des	
14-10	1179-1189	Transports	
14-11	1189-1190	,	
14-12	1191-1194	für	
14-13	1195-1198	das	
14-14	1199-1208	Fundament	
14-15	1209-1212	und	
14-16	1213-1216	die	
14-17	1217-1230	Netzanbindung	
14-18	1230-1231	.	

15-1	1233-1238	Somit	
15-2	1239-1247	empfehle	
15-3	1248-1251	ich	
15-4	1252-1255	den	
15-5	1256-1270	Energiewandler	
15-6	1271-1274	die	
15-7	1275-1292	Wasserkraftanlage	
15-8	1293-1296	zur	
15-9	1297-1306	Förderung	
15-10	1307-1310	des	
15-11	1311-1326	Umweltschutztes	
15-12	1326-1327	.	

16-1	1328-1331	Sie	
16-2	1332-1335	ist	
16-3	1336-1340	zwar	
16-4	1341-1345	sehr	
16-5	1346-1360	kostenintensiv	
16-6	1361-1366	jeder	
16-7	1367-1373	bringt	
16-8	1374-1377	sie	
16-9	1378-1383	viele	
16-10	1384-1392	Vorteile	
16-11	1393-1396	mit	
16-12	1397-1401	sich	
16-13	1401-1402	.	

17-1	1404-1407	Zum	
17-2	1408-1416	Beispiel	
17-3	1417-1420	hat	
17-4	1421-1424	sie	
17-5	1425-1428	wie	
17-6	1429-1433	oben	
17-7	1434-1441	genannt	
17-8	1442-1446	eine	
17-9	1447-1452	lange	
17-10	1453-1464	Lebensdauer	
17-11	1465-1468	und	
17-12	1469-1472	der	
17-13	1473-1485	Wirkungsgrad	
17-14	1486-1491	liegt	
17-15	1492-1495	bei	
17-16	1496-1498	70	
17-17	1498-1499	-	
17-18	1499-1501	90	
17-19	1502-1509	Prozent	
17-20	1509-1510	.	

18-1	1514-1517	Was	
18-2	1518-1524	jedoch	
18-3	1525-1528	ein	
18-4	1529-1536	Vorteil	
18-5	1537-1539	an	
18-6	1540-1543	dem	
18-7	1544-1553	Solarpark	
18-8	1554-1557	ist	
18-9	1557-1558	,	
18-10	1559-1562	ist	
18-11	1563-1566	der	
18-12	1567-1572	Preis	
18-13	1572-1573	.	

19-1	1574-1577	Von	
19-2	1578-1581	den	
19-3	1582-1583	3	
19-4	1584-1597	Möglichkeiten	
19-5	1597-1598	,	
19-6	1599-1602	ist	
19-7	1603-1606	der	
19-8	1607-1616	Solarpark	
19-9	1617-1620	die	
19-10	1621-1631	günstigste	
19-11	1632-1640	Variante	
19-12	1640-1641	.	

20-1	1643-1651	außerdem	
20-2	1652-1656	gibt	
20-3	1657-1661	eine	
20-4	1662-1667	keine	
20-5	1668-1675	Lokalen	
20-6	1676-1686	Emissionen	
20-7	1686-1687	.	

21-1	1688-1690	Im	
21-2	1691-1700	Vergleich	
21-3	1701-1704	zum	
21-4	1705-1713	Beispiel	
21-5	1714-1717	die	
21-6	1718-1735	Wasserkraftanlage	
21-7	1735-1736	.	

22-1	1737-1740	Sie	
22-2	1741-1751	emittieren	
22-3	1752-1755	Hör	
22-4	1755-1756	-	
22-5	1757-1760	und	
22-6	1761-1772	Infraschall	
22-7	1772-1773	.	

23-1	1774-1777	Ein	
23-2	1778-1787	Windparkt	
23-3	1788-1793	würde	
23-4	1794-1798	dazu	
23-5	1799-1803	noch	
23-6	1804-1806	zu	
23-7	1807-1819	Schattenwurf	
23-8	1820-1826	führen	
23-9	1826-1827	.	

24-1	1828-1831	Der	
24-2	1832-1836	kann	
24-3	1837-1842	sogar	
24-4	1843-1846	bis	
24-5	1847-1849	zu	
24-6	1850-1851	2	
24-7	1851-1852	.	
24-8	1853-1857	800m	
24-9	1858-1866	betragen	
24-10	1866-1867	.	

25-1	1868-1872	Dies	
25-2	1873-1877	kann	
25-3	1878-1881	von	
25-4	1882-1885	den	
25-5	1886-1895	Anwohnern	
25-6	1896-1899	als	
25-7	1900-1908	stöhrend	
25-8	1909-1918	empfunden	
25-9	1919-1925	werden	
25-10	1925-1926	.	

26-1	1927-1931	Dies	
26-2	1932-1936	kann	
26-3	1937-1946	wiedrerum	
26-4	1947-1949	zu	
26-5	1950-1965	Schläfstörungen	
26-6	1966-1969	und	
26-7	1970-1980	Kopfschmer	
