IN	SPEAKER	TRANSCRIPT
00:04:20.939	SPEAKER_01	Und so habe ich dann, also der Hans damals ja schon auch länger in der Frauenstraße lebte und auch so die Aktionen mitgemacht hat,
00:04:29.510	SPEAKER_01	habe ich dann so den ersten Kontakt zur Frauenstraße gekriegt.
00:04:33.685	SPEAKER_01	Wann war das?
00:04:35.065	SPEAKER_01	Das war eben 1977.
00:04:35.605	SPEAKER_XX	1977.
00:04:35.625	SPEAKER_01	Mhm.
00:04:35.706	SPEAKER_01	Mhm.
00:04:39.668	SPEAKER_01	Und ja, es war natürlich irgendwie so total spannend für mich, dass er wirklich schon so alt war, nämlich genau doppelt so alt wie ich.
00:04:51.997	SPEAKER_01	Das hat er mir am Anfang nicht verraten.
00:04:57.721	SPEAKER_01	Und na ja, aber es war natürlich einfach auch so was eine ganz andere Welt.
00:05:03.225	SPEAKER_01	Also so klar, ich war natürlich auch früher auch schon immer Samstags nach der Schule bin ich zum Brunnen gefahren und war auch vorher in der Vogtbewegung drin und bin auf Festivals gefahren und sowas.
00:05:18.096	SPEAKER_01	Also das kannte ich natürlich alles schon.
00:05:22.379	SPEAKER_01	Aber das war jetzt natürlich so, politisch sich zu engagieren, das war dann noch mal eine ganz andere Sache.
00:05:34.362	SPEAKER_01	Ja, so hat sich dann bei mir so ein bisschen das ganze dieser Horizont auch so ein bisschen erweitert.
00:05:40.312	SPEAKER_01	Also so, dass ich dann, ja, von diesem mehr behüteten, vielleicht auch so, ja, von meiner Mutter sehr katholischem Rahmen eben ausgebrochen bin.
00:05:52.959	SPEAKER_01	Also vorher habe ich mich zwar auch schon so bei Terre des Hommes engagiert und solche Sachen oder war Schulsprecherin und,
00:06:02.873	SPEAKER_01	aber, ja, und das war dann schon so dieses, ja, sie eben so Sie habe ich mir Münster doch auch mal ein bisschen anders angeguckt.
00:06:13.432	SPEAKER_01	Ich bin dann eben auch zu den Infotischen und so, also Infoveranstaltungen gegangen, wenn Hans da irgendwie Fluchblätter verteilt hat und so.
00:06:33.187	SPEAKER_01	Dann bin ich dann so langsam da reingerutscht.
00:06:35.839	SPEAKER_01	Und dann bist du irgendwann eingezogen in die Frauenstraße?
00:06:42.942	SPEAKER_01	Ja, das war dann so, dass ich eben, ich habe dann mein Abi gemacht.
00:06:48.786	SPEAKER_01	Und dann hat mein Vater irgendwie wahrscheinlich von meinem ältesten Bruder gesteckt gekriegt, dass Hans eben doch so viel älter ist.
00:06:59.271	SPEAKER_01	Und dass er hatte damals ja auch schon eine Familie mit zwei Kindern.
00:07:05.694	SPEAKER_01	In Berlin.
00:07:08.096	SPEAKER_01	Und das fand mein Vater überhaupt nicht gut.
00:07:10.877	SPEAKER_01	Wahrscheinlich hat er sich auch etwas überfordert gefühlt, dass seine jüngste Tochter plötzlich so flügge wird und er jetzt auch eine gewisse Verantwortung hat,
00:07:22.563	SPEAKER_01	die sonst vielleicht meine Mutter eben übernommen hätte.
00:07:26.766	SPEAKER_01	Und naja, auf jeden Fall hat er dann jeglichen Kontakt verboten.
00:07:30.788	SPEAKER_01	Und das war für mich natürlich der...
00:07:34.560	SPEAKER_01	Das Zeichen, dass ich da ausziehen muss.
00:07:36.141	SPEAKER_01	Und dann bin ich in einer Nacht-und-Nebel-Aktion, bin ich dann, hab ich dann meine Sachen gepackt und bin erst zu einer Freundin gezogen und dann aber ziemlich schnell dann auch zu Hans.
00:07:49.266	SPEAKER_01	Und das muss also irgendwie Anfang 78 gewesen sein.
00:07:57.170	SPEAKER_01	Und auf jeden Fall steckte ich noch voll im Abi.
00:08:02.603	SPEAKER_01	Und habe dann, ja, habe dann aber eben bei Hans gewohnt und dann haben wir auch die Möglichkeit gekriegt, aus einem Zimmer eben nach hinten hinter die Küche zu ziehen,
00:08:15.134	SPEAKER_01	in dieses Doppelzimmer.
00:08:16.975	SPEAKER_01	Das war in der zweiten Etage.
00:08:18.216	SPEAKER_01	In der zweiten Etage.
00:08:19.596	SPEAKER_02	Wir haben vorher, oder Hans hatte vorher das Zimmer, also wenn man zur Straße hinguckt, oder beziehungsweise, nein, jetzt andersrum,
00:08:27.942	SPEAKER_02	wenn man von der Straße guckt, ganz rechts im vorderen Zimmer, Ja.
00:08:32.979	SPEAKER_01	Hat er gewohnt und dann sind wir nach hinten gezogen.
00:08:35.600	SPEAKER_00	Hatte Hans da immer schon gewohnt oder wann ist er da eingezogen?
00:08:38.422	SPEAKER_00	Mit der Besetzung, weißt du das?
00:08:40.462	SPEAKER_01	Der hatte vor der Besetzung, hat er schon eine Zeit lang da gewohnt.
00:08:47.166	SPEAKER_01	Und dann ist ja, Stürmer war das, der da die Wohnung quasi unbewohnbar gemacht hat.
00:08:56.009	SPEAKER_01	Und da ist er dann erstmal wieder ausgezogen und nach Berlin gegangen zu seiner Familie.
00:09:02.734	SPEAKER_01	Und ist dann aber, ich weiß es gar nicht, wann das war, 75 oder so, denke ich mal, ist er wieder zurückgezogen und wieder in das Haus gezogen.
00:09:18.004	SPEAKER_00	Hat er in Münster auch studiert oder warum ist er nach Münster gekommen?
00:09:21.985	SPEAKER_01	Der hat in Münster damals, als ich ihn kennengelernt habe, Biologie, also hat er auf Lehramt studiert.
00:09:31.131	SPEAKER_01	Mhm.
00:09:32.938	SPEAKER_01	Sport, Biologie und hat dann noch irgendwie Deutsch, glaube ich, auch noch als drittes Fach gehabt.
00:09:42.443	SPEAKER_01	Hat aber nie seinen Abschluss gemacht.
00:09:46.105	SPEAKER_01	Aus Prüfungsangst.
00:09:48.047	SPEAKER_01	Er hat dann ja auch viel anderes in der Frauenstraße gemacht.
00:09:53.149	SPEAKER_01	Ja, aber das kam ja eigentlich erst...
00:09:56.869	SPEAKER_01	Also als ich ihn kennenlernte, da hat er irgendwie so gejobbt als LKW-Fahrer und sowas.
00:10:03.573	SPEAKER_01	Und da hatte er jetzt mit der... Doch, warte mal, er hatte vorher... Stimmt, also er hatte schon vorher, also bevor er weggezogen ist,
00:10:13.467	SPEAKER_01	hatte er schon in der Schlossklausel, hieß das damals, auch schon gearbeitet.
00:10:19.267	SPEAKER_01	Aber das war ja irgendwie ein Pächter auch, der da noch drauf war und dann...
00:10:25.282	SPEAKER_01	Naja, aber auf jeden Fall ist er dann, als ich ihn kennenlernte, hatte er noch nichts mit der Kneipe zu tun.
00:10:34.566	SPEAKER_01	Und dann kam aber, naja, dann hatte ich das Abitur in der Tasche und irgendwie wohnten wir da und kriegten so mit, was da unten eigentlich nicht viel los war.
00:10:47.490	SPEAKER_01	Ich meine, dass Malis uns auch mal irgendwann sagte, jetzt, ja, es läuft irgendwie nicht gut oder Ich glaube, Marlis hat damals schon da gearbeitet.
00:10:57.726	SPEAKER_01	Welcher Marlis?
00:10:59.807	SPEAKER_01	Marlis Borchardt.
00:11:00.489	SPEAKER_01	Ach so.
00:11:03.791	SPEAKER_01	Und Wolfgang Brombach hat damals die Geschäftsführung da gemacht.
00:11:08.913	SPEAKER_01	Und so viel ich weiß, gab es auch nur abends und ich glaube auch nicht mal an jedem Abend Betrieb.
00:11:18.719	SPEAKER_01	Und da haben Hans und ich uns gedacht, naja, das können wir irgendwie besser machen.
00:11:24.893	SPEAKER_01	Und haben dann von Wolfgang quasi die Geschäftsleitung übernommen, wobei das Ganze ja irgendwie auch, also es war ja eigentlich alles nicht so ganz legal,
00:11:37.730	SPEAKER_01	sondern eher illegal.
00:11:39.605	SPEAKER_01	Weswegen illegal?
00:11:41.566	SPEAKER_01	Ja, weil es keine Konzession gab natürlich.
00:11:43.748	SPEAKER_00	Ah, also es gab keine Konzession.
00:11:44.948	SPEAKER_01	Genau, und das haben wir dann ja mit diesem Konstrukt des Vereins, haben wir das ja umgangen, dass wir gesagt haben, wir sind eine Vereinsgaststätte und haben dann auch so selbst gemalte,
00:11:57.830	SPEAKER_01	kopierte Mitgliedsausweise ausgegeben an jeden, der da in die Kneipe gekommen ist.
00:12:05.249	SPEAKER_01	Also das wird auch echt viele Mitglieder hatten zu der Zeit.
00:12:08.390	SPEAKER_01	Ja, und dann haben wir am Anfang, meine ich, auch nur abends gemacht, aufgemacht.
00:12:19.557	SPEAKER_01	Aber das weiß ich jetzt nicht mehr so ganz genau.
00:12:21.479	SPEAKER_01	Aber es war schon immer so, dass wir gedacht haben, also irgendwie so das Tagesgeschäft wäre doch eigentlich auch ganz schön.
00:12:27.614	SPEAKER_01	So war ja auch hier Magdalena, die hat damals da die Zimmervermittlung und Mitfahrtzentrale gemacht.
00:12:37.836	SPEAKER_01	Oder im Grunde genommen waren das zwei Kästen.
00:12:40.376	SPEAKER_01	Zwei Karteikästen.
00:12:42.297	SPEAKER_01	Zwei Karteikästen.
00:12:43.397	SPEAKER_01	Aber sie saß dann da immer und ja, und dann kamen auch so die ersten so auch so tagsüber und dann habe ich eigentlich eher tagsüber gearbeitet und Hans hat dann mich abends abgelöst beziehungsweise der war auch sowieso viel da und hat dann ja also das dann eben so dieses Abendgeschäft dann auch lief.
00:13:09.895	SPEAKER_00	Wann war das also das war kurz nachdem du dein Abi in der Tasche hattest?
00:13:13.697	SPEAKER_01	Ja das muss also schon Ende 78 gewesen sein Und dann kam irgendwie die, ja, also ich habe in der Zeit auch noch nicht studiert,
00:13:28.392	SPEAKER_01	sondern ich habe 1979 angefangen zu studieren.
00:13:33.870	SPEAKER_01	Allerdings war das auch gleich ein Streiksemester, was mir dann sehr zu pass kam, weil ich dann auch Zeit für die Kneipe hatte.
00:13:41.695	SPEAKER_01	Und...
00:13:43.229	SPEAKER_01	Ja, wir haben dann auch, irgendwie kam dann auch so die Idee, wir können auch was zu essen anbieten mittags und dann hat Susanne Neugebauer,
00:13:53.612	SPEAKER_01	hat dann Einschlöpfe gekocht und hat, ja, und das ging eigentlich ganz gut und dann irgendwann konnte sie aber nicht mehr oder wurde das zu viel und dann haben wir dann so eine Kooperation mit der Pizzeria Piccolo von nebenan gemacht, dass wir immer da Also die Leute, die Gäste konnten bei uns bestellen und dann haben wir das rübergegeben und dann auch nach einer Weile dann abgeholt bei Wind und Wetter, Schnee und Regen.
00:14:25.193	SPEAKER_01	Und kriegten dann dafür, ich meine, 50 Pfennig als Provision quasi.
00:14:31.576	SPEAKER_01	Für jedes bestellte Gericht.
00:14:35.597	SPEAKER_01	Und das wurde natürlich alles noch nicht digital erfasst, sondern alles mit irgendwelcher Zettelwirtschaft.
00:14:42.090	SPEAKER_01	Ja, und wir haben dann auch regelmäßig eben diese heißen Freitage gemacht.
00:14:49.091	SPEAKER_01	Eigentlich, ich meine sogar einmal in der Woche, war immer freitags immer an dem Bollerofen irgendwie Lesung oder Musik.
00:15:04.254	SPEAKER_00	Wer hat das Programm gemacht?
00:15:07.215	SPEAKER_00	Wie ist das dann publik gemacht worden?
00:15:11.322	SPEAKER_00	Also ich habe das dann auch ziemlich schnell mit übernommen.
00:15:13.924	SPEAKER_01	Ich meine, mit verschiedenen Leuten.
00:15:18.826	SPEAKER_01	Also Konstanze hat mal mitgemacht oder Christiane.
00:15:25.211	SPEAKER_01	Ganz am Anfang hat auch Werner Maybeck, glaube ich, auch mitgemacht.
00:15:28.173	SPEAKER_01	Ich glaube, das war vorher.
00:15:29.432	SPEAKER_00	Wir haben schon Solidaritätskonzerte gemacht.
00:15:33.375	SPEAKER_01	Es gab ja noch hinten so einen kleinen Hinterraum.
00:15:36.655	SPEAKER_01	Allerdings nur ein Drittel von dem war, der jetzt da ist.
00:15:42.640	SPEAKER_01	Dahinter war ja noch die Wohnung.
00:15:44.402	SPEAKER_00	Genau, da wohnte ja Roswitha, ne?
00:15:46.783	SPEAKER_01	Ne, Roswitha wohnte ganz oben.
00:15:49.245	SPEAKER_00	Wer hat denn da gewohnt?
00:15:50.826	SPEAKER_01	Uwe hat da gewohnt.
00:15:52.508	SPEAKER_00	Ja, aber eine Zeit lang hat auch Roswitha da gewohnt, oder?
00:15:56.309	SPEAKER_00	Ja, aber das war glaube ich noch vorher.
00:15:58.692	SPEAKER_01	Also die hat so...
00:16:00.130	SPEAKER_01	Solange wie ich da in der Frauenstraße gewohnt habe, hat die oben gewohnt.
00:16:03.913	SPEAKER_01	In diesem schönen Zimmer im dritten Stock.
00:16:05.773	SPEAKER_01	Also mit diesen runden Fenstern.
00:16:12.875	SPEAKER_00	Und was gab es da für Veranstaltungen?
00:16:14.817	SPEAKER_00	Heißer Freitag?
00:16:16.216	SPEAKER_00	Wie wurde das geplant?
00:16:17.618	SPEAKER_00	Wie habt ihr euch da bekannt gemacht?
00:16:20.958	SPEAKER_00	Oder war immer klar, da ist immer was los und die Leute kamen sowieso?
00:16:26.721	SPEAKER_01	Ja, es war so...
00:16:30.283	SPEAKER_01	Eigentlich, die heißen Freitage waren eigentlich so schon einfach gesetzt.
00:16:37.273	SPEAKER_01	Und es waren ja auch Partys dann oft auch so freitags und ja, wenn größere Veranstaltungen waren, wie jetzt zum Beispiel,
00:16:47.857	SPEAKER_01	wenn Fidel Michel aufgetreten ist, dann haben wir Plakate gemacht, eben alles so per Hand, ich weiß wohl noch, also immer viel kopiert haben und viel geschrieben haben und verteilt und ich, und es war immer ein Problem, dass die Leute, Leute zu finden, die eben die Plakate aufhängen, sodass eben dann, ja, Das war immer mit einer Hauptarbeit, Plakate zu verteilen.
00:17:19.933	SPEAKER_01	Und die Vorlagen haben ganz unterschiedlich, also entweder mein Bruder Bastian hat was gemacht, Christian Geißler hat Vorlagen gemacht,
00:17:32.415	SPEAKER_01	Matti Muttern, es gab immer so so verschiedene Vorlagen, die dann eine Zeit lang eben dann benutzt wurden, um eben Veranstaltungen anzukündigen.
00:17:46.761	SPEAKER_00	Ja, und die wurden auch gut besucht, da war es immer voll.
00:17:50.483	SPEAKER_01	Ja, also wir haben immer so ein paar D-Mark oder eine Mark oder was dann an Eintritt genommen und...
00:18:02.364	SPEAKER_01	Oder wenn überhaupt, das weiß ich gar nicht mehr so genau.
00:18:05.145	SPEAKER_01	Doch ich weiß wohl, dass ich öfter auch dann als Kasse eine Kasse gemacht habe, da vorne.
00:18:12.490	SPEAKER_00	Teilweise konnten die Leute auch sowas geben, dass es gar kein fester Preis war.
00:18:18.174	SPEAKER_00	Kann ich mich auch noch daran erinnern.
00:18:23.698	SPEAKER_01	Also wir waren immer, ich kann es jetzt gar nicht so genau sagen, wer sich da immer so mit eingebracht hat, aber das lief immer irgendwie Und war eigentlich auch mehr so ein Selbstläufer,
00:18:41.140	SPEAKER_01	glaube ich, mit diesen Veranstaltungen.
00:18:44.892	SPEAKER_01	Gerade jetzt so, weil die Kneipe war ja auch ziemlich schnell voll.
00:18:48.714	SPEAKER_01	Also war es einfach immer so auch gemütlich.
00:18:53.900	SPEAKER_01	Ja, bestimmt.
00:18:55.740	SPEAKER_01	Ja.
00:19:00.939	SPEAKER_00	Ja.
00:19:03.121	SPEAKER_00	Die Kneipe war ja im Grunde auch ein Treffpunkt für die politischen Organisationen, Studentenorganisationen.
00:19:11.527	SPEAKER_00	Und welche Rolle spielte die Kneipe insgesamt auch für die Auseinandersetzung um die Frauenstraße 24?
00:19:19.031	SPEAKER_00	Ich denke mal eine sehr große.
00:19:20.913	SPEAKER_01	Also wir hatten ja hinten dann eben diesen Versammlungsraum.
00:19:23.655	SPEAKER_01	Der wurde häufig benutzt eben für Versammlungen.
00:19:30.589	SPEAKER_01	Und es war natürlich schon auch so, dass wir, wir haben auch bis auf die Semesterferien ja auch Gewinne erwirtschaften können,
00:19:40.524	SPEAKER_01	die wir dann auch zum Beispiel in Infomaterial reinstecken konnten.
00:19:45.945	SPEAKER_01	Also es ist schon, glaube ich, auch so einiges bezahlt worden durch die Gaststätte.
00:19:53.303	SPEAKER_00	Und die Gruppen, die sich da getroffen haben, nachdem sie Sitzungen hatten oder so, die haben ja dann teilweise auch mitbekommen,
00:20:00.208	SPEAKER_00	wie gerade die Situation um die Frauenstraße 24 war.
00:20:03.125	SPEAKER_00	Also es war im Grunde auch immer ein Informationstreffpunkt.
00:20:07.766	SPEAKER_01	Ja, eben.
00:20:08.766	SPEAKER_01	Also es war ja schon so, dass das ja auch immer diese...
00:20:17.451	SPEAKER_01	Ja, Planung auch von irgendwelchen Aktionen auch in der Kneipe stattgefunden haben, weil es ja, das war ja einfach ein Ort,
00:20:25.794	SPEAKER_01	wo viele Leute hinkommen konnten.
00:20:28.161	SPEAKER_01	Oder auch Ausgangspunkt war, wenn irgendwie Aktionen stattfanden, dass dann halt, ja, dass die eben von, dass der Treffpunkt eben in der Frauenstraße,
00:20:39.376	SPEAKER_01	also in der Kneipe war.
00:20:41.211	SPEAKER_XX	Ja.
00:20:43.596	SPEAKER_00	Wie ging es dann mit der Kneipe weiter?
00:20:45.196	SPEAKER_00	Irgendwann gab es dann ja auch eine eigene Küche.
00:20:49.097	SPEAKER_01	Ja, also lange Zeit wirklich diese Kooperation mit der Pizzeria.
00:20:54.380	SPEAKER_01	Und dann kam Hussein Düzgün und er kam irgendwann ins Spiel und machte so eine Miniküche in so einem kleinen Raum, der noch,
00:21:07.738	SPEAKER_01	also links vor dem Versammlungsraum lag.
00:21:12.195	SPEAKER_01	Also es war wirklich, also die Kneipe war ja ganz anders aufgebaut als heute.
00:21:17.278	SPEAKER_01	Also der Tresen stand anders und direkt neben dem Tresen war der Eingang zu den Toiletten und dann, wenn man dann um die Ecke ging,
00:21:29.114	SPEAKER_01	dann gab es da nicht diese Treppe runter in den Keller, sondern da war dann eben dieser kleine Raum und da hat dann Hüseyin dann irgendwie ein paar Kochplatten aufgestellt und seinen Drehspieß und es war alles winzig.
00:21:48.872	SPEAKER_00	Und dann gab es da Döner?
00:21:51.753	SPEAKER_01	Es gab Döner und es gab dann aber auch hier die Fladenbrote, einen Herd hatte er da auch, also einen Backofen oder was, aber alles sehr klein und auch klein.
00:22:03.501	SPEAKER_01	Eigentlich auch keine Abluft, sondern es ging dann eben nach draußen.
00:22:11.209	SPEAKER_01	Also es war sehr improvisiert am Anfang, aber es wurde sehr gut angenommen.
00:22:17.913	SPEAKER_00	Ja, war schon sehr beliebt.
00:22:19.816	SPEAKER_00	Ja.
00:22:22.192	SPEAKER_00	Döner da zu essen.
00:22:23.773	SPEAKER_00	Und ihr hattet dann mittlerweile aber auch eine Konzession?
00:22:26.296	SPEAKER_00	Eine offizielle Konzession?
00:22:27.757	SPEAKER_01	Nee, die offizielle Konzession, die gab es, glaube ich, erst nachdem die Kneipe renoviert worden ist.
00:22:35.182	SPEAKER_01	Also nach der Besetzung.
00:22:36.603	SPEAKER_00	So lange war es immer eine Mitglieder-, also Vereinskneipe.
00:22:41.405	SPEAKER_00	Ja.
00:22:41.625	SPEAKER_01	Ansonsten hätte man ja auch die ganzen Be- und Entlüftungsgeschichte machen müssen und Schallschutz und und Und es war ja alles gar nicht klar,
00:22:54.724	SPEAKER_01	wie das Ganze nebenaus geht.
00:22:57.421	SPEAKER_01	Also es war vorher wirklich alles sehr improvisiert und als Vereinslokal.
00:23:06.103	SPEAKER_01	Und Kulturzentrum, also wir haben das schon ja auch als Kulturzentrum tituliert.
00:23:13.585	SPEAKER_00	Und den Umbau und die offizielle Konzession als Kneipe, das hast du auch noch mitbekommen?
00:23:20.682	SPEAKER_01	Ja, ich war dann ja Kassenwartin ganz lange auch noch in dem Vorstand.
00:23:25.405	SPEAKER_01	Vom Verein?
00:23:25.965	SPEAKER_01	Vom Verein, hab auch so die ganzen Abrechnungen gemacht und Personal Abrechnung und sowas.
00:23:34.971	SPEAKER_01	Also hier die Pflanze hinter dir, die hab ich zum Schluss bekommen.
00:23:41.935	SPEAKER_01	Das war dann Mustafa.
00:23:44.076	SPEAKER_01	Genau, der war damals noch im Vorstand.
00:23:46.298	SPEAKER_01	Ja, und...
00:23:50.588	SPEAKER_00	Und das ging dann sofort los nach dem Ankauf durch die LEG, das dann da unten renoviert wurde?
00:23:55.692	SPEAKER_01	Ja, das ging also ziemlich zügig.
00:23:58.454	SPEAKER_01	Und es war ja so, dass die eine Hälfte der Hausbewohner mussten dann ja ausziehen, weil das Haus ja quasi sukzessive renoviert wurde.
00:24:12.325	SPEAKER_01	Und dann sind Hans und ich dann als Erste bei dem ersten Haus, Das waren die ersten Leute, die dann ausgezogen sind.
00:24:21.712	SPEAKER_01	Dann sind wir in die Finkenstraße gezogen.
00:24:24.474	SPEAKER_01	Und haben dann aber eben die Renovierung auch weiter begleitet.
00:24:28.477	SPEAKER_01	Zum Beispiel die Bodenfliesen legen, die dann allerdings, was sich hinterher beim Putzen herausstellte, dann doch nicht so gut gelungen ist,
00:24:39.213	SPEAKER_01	weil sich dann immer Pfützen bildeten.
00:24:42.244	SPEAKER_01	Aber wir haben eben auch ganz viel selber gemacht in der Zeit.
00:24:46.041	SPEAKER_01	Aber es war schon eine riesige Baustellung.
00:24:50.464	SPEAKER_01	Ach so, und was ich auch noch sagen wollte, eigentlich auch schon ganz am Anfang, wo Hans und ich das dann quasi übernommen haben,
00:24:58.802	SPEAKER_01	also wir waren dann viel auch so bei Kollegen unterwegs und haben immer geguckt, wie machen die das denn da?
00:25:05.833	SPEAKER_01	Und so war das dann auch mit dem Umbau hinterher, haben wir rumgeguckt und gesehen, also wie haben die das denn so, wie steht denn da der Tresen und wie sind die Abläufe,
00:25:18.811	SPEAKER_01	kann man die Abläufe gut machen und so.
00:25:21.884	SPEAKER_01	Also immer so ein bisschen Werkspionage betrieben und das war natürlich schon auch ganz wichtig.
00:25:28.627	SPEAKER_00	Ja klar, dass man da nicht Anfangsfehler macht, sondern dass man auch mal guckt, was haben sich die anderen überlegt, warum machen die das so.
00:25:38.323	SPEAKER_01	Ja, und dann haben wir natürlich auch immer gucken müssen, dass es möglichst günstig wird mit den Materialien.
00:25:44.407	SPEAKER_01	Und haben zum Beispiel diese, ich weiß gar nicht, wer die aufgetan hat, aber das war irgendwie aus so einer Sargtischlerei,
00:25:53.491	SPEAKER_01	haben wir dann diese Eichenpanelen gekriegt, die da an der Wand sind.
00:25:58.681	SPEAKER_01	Mhm.
00:26:00.605	SPEAKER_01	Ja, und es war schon immer viel Planerei und gucken und ja, manchmal waren wir, also wir waren ziemlich enttäuscht, als dann der Dresen wurde zum Beispiel dann auch von der von der Ritterbrauerei war das damals oder war das schon die DAP das weiß ich gar nicht,
00:26:23.360	SPEAKER_01	wir haben also mit Ritter angefangen und dann wurde die ja irgendwie auch aufgekauft ich glaube von DAP oder ist in DAP übergegangen naja auf jeden Fall war das halt ein bisschen als dann hinter der Tresen kam von einer professionellen Tischlerei natürlich gemacht waren wir doch sehr enttäuscht, weil es so total anders aussah als eben unser alter Tresen den wir eigentlich schon auch so ein bisschen geliebt hatten, aber das ist ja eine marode Bahn.
00:27:02.967	SPEAKER_00	Ja, solche Veränderungsprozesse sind auch gewöhnungsbedürftig dann.
00:27:09.670	SPEAKER_00	Du hast dann ja gerade erzählt, dass du bis zum Umbau dann auch mit Hans da in der Frauenstraße gewohnt hast.
00:27:16.833	SPEAKER_00	Da habt ihr ja mit mehreren zusammen gewohnt.
00:27:19.753	SPEAKER_00	War das eine Wohngemeinschaft oder war das so nur gemeinsam eine Küchennutzung, Badnutzung?
00:27:27.478	SPEAKER_01	Wie war so das Zusammenleben?
00:27:29.659	SPEAKER_01	Wir waren immer so ein bisschen neidisch auf die erste Etage, weil wir das Gefühl hatten, also bei euch war das wirklich so Wohngemeinschaft.
00:27:38.423	SPEAKER_01	Und bei uns war es mehr oder weniger Zweckgemeinschaft.
00:27:41.824	SPEAKER_01	Klar, wir hatten dann zum Beispiel mit Martin Muthan...
00:27:45.750	SPEAKER_01	Hatten wir schon sehr engen Kontakt und das war auch sehr schön, aber es war eigentlich mehr, ja auch mehr Wechsel bei uns und so richtig Wohngemeinschaft kam da eigentlich nicht auf.
